network,method,time,modularity,cunductance,accurary
1000_0.5_6,split_newman,91.28359842,0.450740332,0.508011053,0.591179434
1000_0.5_6,split_newman_remerge,169.3567066,0.447777608,0.510244615,0.520850602
***,***,***,***,***,***
1000_0.6_6,normal louvain,1.263980865,0.357368361,0.411453285,0.482564993
1000_0.6_6,split_louvain,2.216242552,0.361835455,0.412153083,0.582610815
1000_0.6_6,split_louvain_remerge,1.929514647,0.353209278,0.406207101,0.47131485
1000_0.6_6,split_girvan,40.58688235,0.361752093,0.412438791,0.624006417
1000_0.6_6,split_girvan_remerge,37.74531817,0.351956564,0.405064313,0.483892238
1000_0.6_6,split_newman,184.5888319,0.346110962,0.402983613,0.452993968
1000_0.6_6,split_newman_remerge,82.16301394,0.340976208,0.406587195,0.409945664
***,***,***,***,***,***
100_0.4_7,normal louvain,0.031206131,0.228457053,0.454756927,0.415159345
100_0.4_7,split_louvain,0.062484741,0.226616286,0.402987926,0.43987976
100_0.4_7,split_louvain_remerge,0.078106642,0.24222123,0.377246703,0.508114158
100_0.4_7,split_girvan,0.680024862,0.236819996,0.411313858,0.481903818
100_0.4_7,split_girvan_remerge,0.729809761,0.226606076,0.383923363,0.429511278
100_0.4_7,split_newman,2.644120932,0.225766646,0.479057436,0.452941176
100_0.4_7,split_newman_remerge,3.54493618,0.212927227,0.448238511,0.434743474
***,***,***,***,***,***
100_0.5_7,normal louvain,0.02254653,0.184829333,0.328880983,0.156411917
100_0.5_7,split_louvain,0.043826342,0.179017778,0.350213337,0.151074589
100_0.5_7,split_louvain_remerge,0.0503304,0.189988444,0.351389002,0.16163189
100_0.5_7,split_girvan,0.138399363,0.187403556,0.355204659,0.164027866
100_0.5_7,split_girvan_remerge,0.203108072,0.180512,0.33300792,0.155945419
100_0.5_7,split_newman,1.622198582,0.176776,0.385908652,0.196505212
100_0.5_7,split_newman_remerge,0.613590956,0.157090667,0.325183681,0.170961659
***,***,***,***,***,***
100_0.6_7,normal louvain,0.015621185,0.172300531,0.340415039,0.135577373
100_0.6_7,split_louvain,0.046863079,0.169629114,0.312091158,0.121892925
100_0.6_7,split_louvain_remerge,0.031243324,0.16613171,0.332683809,0.121363636
100_0.6_7,split_girvan,0.205673456,0.173621099,0.346057665,0.125459559
100_0.6_7,split_girvan_remerge,0.190346003,0.173357827,0.314246515,0.123202301
100_0.6_7,split_newman,1.074545383,0.161736825,0.337167841,0.130099728
100_0.6_7,split_newman_remerge,1.485517263,0.149958532,0.412217963,0.201632653
***,***,***,***,***,***
1000_0.4_7,normal louvain,0.296805859,0.564852847,0.601681976,0.900492881
1000_0.4_7,split_louvain,0.632812262,0.565462211,0.601183512,0.94451146
1000_0.4_7,split_louvain_remerge,0.705591917,0.565462211,0.601183512,0.94451146
1000_0.4_7,split_girvan,23.51297092,0.565462211,0.601183512,0.94451146
1000_0.4_7,split_girvan_remerge,23.63160968,0.565462211,0.601183512,0.94451146
1000_0.4_7,split_newman,61.15792346,0.55117622,0.60646684,0.564585909
1000_0.4_7,split_newman_remerge,61.42619896,0.550480646,0.608861301,0.532153144
***,***,***,***,***,***
1000_0.5_7,normal louvain,0.281182766,0.463092709,0.507680044,0.792652499
1000_0.5_7,split_louvain,0.781031847,0.463092709,0.507680044,0.792652499
1000_0.5_7,split_louvain_remerge,0.679096937,0.462933247,0.507350282,0.789272688
1000_0.5_7,split_girvan,20.82401848,0.460565311,0.507939727,0.740382269
1000_0.5_7,split_girvan_remerge,21.31462359,0.463092709,0.507680044,0.792652499
1000_0.5_7,split_newman,67.76855421,0.44244813,0.498353238,0.601962629
